"# Fecha de decodificación: 2025-04-30 04:02:35;;;;"
"# Protocolo: OBD2;;;;"
";;;;"
"CAN;05/03/2025 09:28:46AM;DOBACK003;5;1"
"Timestamp,length,response,service,ParameterID_Service01,S1_PID_0C_EngineRPM,S1_PID_0D_VehicleSpeed,S1_PID_03_FuelSystemStatus;;;;"
"09:28:52AM,8,4,Show current data,length,0.0,,;;;;"
"09:28:53AM,8,4,Show current data,length,,0.0,;;;;"
"09:28:53AM,8,4,Show current data,length,,,256.0;;;;"
"09:28:54AM,8,4,Show current data,length,0.0,,;;;;"
"09:28:54AM,8,4,Show current data,length,,0.0,;;;;"
"09:28:56AM,8,4,Show current data,length,,,256.0;;;;"
"09:28:56AM,8,4,Show current data,length,0.0,,;;;;"
"09:28:58AM,8,4,Show current data,length,,0.0,;;;;"
"09:28:58AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:03AM,8,4,Show current data,length,0.0,,;;;;"
"09:29:03AM,8,4,Show current data,length,,0.0,;;;;"
"09:29:04AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:04AM,8,4,Show current data,length,0.0,,;;;;"
"09:29:05AM,8,4,Show current data,length,,0.0,;;;;"
"09:29:05AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:06AM,8,4,Show current data,length,0.0,,;;;;"
"09:29:06AM,8,4,Show current data,length,,0.0,;;;;"
"09:29:07AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:07AM,8,4,Show current data,length,0.0,,;;;;"
"09:29:09AM,8,4,Show current data,length,,0.0,;;;;"
"09:29:09AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:15AM,8,4,Show current data,length,0.0,,;;;;"
"09:29:16AM,8,4,Show current data,length,0.0,,;;;;"
"09:29:17AM,8,4,Show current data,length,,0.0,;;;;"
"09:29:18AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:18AM,8,4,Show current data,length,0.0,,;;;;"
"09:29:21AM,8,4,Show current data,length,,0.0,;;;;"
"09:29:21AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:21AM,8,4,Show current data,length,895.5,,;;;;"
"09:29:24AM,8,4,Show current data,length,,0.0,;;;;"
"09:29:24AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:25AM,8,4,Show current data,length,1018.0,,;;;;"
"09:29:25AM,8,4,Show current data,length,,0.0,;;;;"
"09:29:29AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:34AM,8,4,Show current data,length,932.5,,;;;;"
"09:29:35AM,8,4,Show current data,length,,0.0,;;;;"
"09:29:36AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:36AM,8,4,Show current data,length,1273.0,,;;;;"
"09:29:37AM,8,4,Show current data,length,,5.0,;;;;"
"09:29:37AM,8,4,Show current data,length,,,256.0;;;;"
"09:29:37AM,8,4,Show current data,length,,6.0,;;;;"
"09:29:37AM,8,4,Show current data,length,1382.25,,;;;;"
"09:29:40AM,8,4,Show current data,length,,10.0,;;;;"
"09:29:40AM,8,4,Show current data,length,,,512.0;;;;"
"09:29:41AM,8,4,Show current data,length,1549.75,,;;;;"
"09:29:41AM,8,4,Show current data,length,,12.0,;;;;"
"09:29:42AM,8,4,Show current data,length,,,512.0;;;;"
"09:29:42AM,8,4,Show current data,length,1708.5,,;;;;"
"09:29:43AM,8,4,Show current data,length,,13.0,;;;;"
"09:29:43AM,8,4,Show current data,length,,,512.0;;;;"
"09:29:44AM,8,4,Show current data,length,1765.25,,;;;;"
"09:29:44AM,8,4,Show current data,length,,13.0,;;;;"
"09:29:45AM,8,4,Show current data,length,,,512.0;;;;"
"09:29:45AM,8,4,Show current data,length,,,512.0;;;;"
"09:29:46AM,8,4,Show current data,length,1332.5,,;;;;"
"09:29:46AM,8,4,Show current data,length,,19.0,;;;;"
"09:29:47AM,8,4,Show current data,length,,,512.0;;;;"
"09:29:47AM,8,4,Show current data,length,1427.5,,;;;;"
"09:29:48AM,8,4,Show current data,length,,21.0,;;;;"
"09:29:49AM,8,4,Show current data,length,,,512.0;;;;"
"09:29:50AM,8,4,Show current data,length,1520.5,,;;;;"
"09:29:50AM,8,4,Show current data,length,,22.0,;;;;"
"09:29:51AM,8,4,Show current data,length,,,512.0;;;;"
"09:29:51AM,8,4,Show current data,length,1569.75,,;;;;"
"09:29:52AM,8,4,Show current data,length,,23.0,;;;;"
